Feature,LR_Importance,RF_Importance,XGB_Importance,SVM_Importance,DNN_Importance,Mean_Importance
sqrtcd4,1.5807702115817257,0.03925497371269242,0.0075275907,0.07053442642432951,0.03833620807388779,0.34728468210438634
nrti,0.48884106515347436,0.09760264212550886,0.5611365,0.07725822816506446,0.06077361864989467,0.2571224076480121
CD4N,0.7917098210330004,0.04888861824094902,0.27548322,0.02766835477418139,0.03829685948105801,0.23640937486896946
pi,0.3435564186717892,0.05136360483338955,0.36300564,0.06941222522298444,0.05558979142102308,0.17658553565434895
CD4_8,0.032654349111030954,0.07728153857389244,0.6337967,0.041510398495291645,0.059108432622230325,0.1688702821393953
nnrti,0.39011784154402684,0.04440146825506251,0.20431833,0.06472747648323733,0.03510034197798786,0.1477330915904403
sqrtcd8,0.6299643763082313,0.010676897279250613,0.010294377,0.01732685792952885,0.025643212593265997,0.13878114419655133
duration,0.07519476114948702,0.027183168308330518,0.27064344,0.013645583128806354,0.02371091922676116,0.0820755749365143
APOBEC,0.28169125961231334,0.0014437028359285146,0.018231349,0.0008911338003451378,0.008103940854756717,0.06207227723384871
CD8N,0.22508863355645659,0.009272353879754242,0.023238663,0.005863462248612251,0.00611058623614798,0.05391473971025812
anydrug,0.11932372476821515,0.006942445879116618,0.079239435,0.011620276245797478,0.022311480957994793,0.04788747266901402
ageatvis,0.09856797096592074,0.013178910563808486,0.09496278,0.01480515609665416,0.014808020514671697,0.04726456825977611
Hgbgen,0.20481205653123302,0.0029447735017393353,0.0,0.0032105339612023137,0.009121337939964703,0.04401774038682787
hemoglob,0.024802723509367446,0.011745976745690341,0.17108801,0.001671276010275613,0.006919328761268633,0.043245463019862034
APOB,0.17837903465928454,0.001586965249689372,0.0,0.0009625106407790562,0.008631079710643271,0.03791191805207925
APOBgr,0.17837903465928454,0.0012988588348429857,0.0,0.0009672738343002274,0.008605741027578998,0.03785018167120135
durationy,0.0751945070614093,0.027790495957067965,0.0,0.014353366045745027,0.023963601659571496,0.02826039414475876
genotype,0.1353539635583076,0.0007356093273189145,0.0,0.0005442808685723094,0.004549625498783261,0.028236695850596415
call,0.08155331368006503,0.0006371758171140869,0.002337837,0.0013800059180289653,0.0069660233313468475,0.018574871127966065
genotype3,0.08155331368006503,0.0008301084445803918,0.0,0.0014818959386489793,0.006837339115114266,0.018140531435681735
Hgb,0.014051114443266233,0.0027314713745182294,0.055438552,0.0004595369593875284,0.008095750319433683,0.016155285029677658
HgbgenSS,0.05924360664673652,0.0027130382014918003,0.0,0.00038077343369797976,0.00800942841043528,0.014069369338472318
race,0.01997964306369894,0.000503552377503701,0.009575884,0.0011843498477071015,0.0035131518511578486,0.006951316199594691
ferss,0.009520213239223951,3.089637710723956e-05,0.0,1.681834329550158e-05,0.0,0.0019135855919253386
apofer,0.005935286300591201,8.040926772043249e-05,0.0,0.0,0.0,0.0012031391136623267
aposs,0.00014380158957391921,8.053082905635003e-06,0.0,0.0008625001102910736,0.0036005830623438186,0.0009229875690228894
APOBgr2,1.726810538391563e-18,6.013884923213161e-06,0.0,0.0,0.0,1.2027769846429775e-06
