Strategy,AUROC,PR AUC,Recall (default),Recall @0.3,Recall @0.5,Recall @0.7,Model
Simple (Median/Mode),0.9703695392827842,0.8883588509452333,0.9972887483054677,1.0,0.9972887483054677,0.9498418436511524,Logistic Regression
KNN Imputation,0.9655365324181916,0.8678039063999812,0.9927699954812472,0.999548124717578,0.9927699954812472,0.9448712155445096,Logistic Regression
MICE Imputation,0.9678485075249073,0.8699620752812092,0.9945774966109354,0.999548124717578,0.9945774966109354,0.94713059195662,Logistic Regression
Domain-Informed,0.978856765828759,0.936482080949658,0.9941256213285132,1.0,0.9941256213285132,0.96475372797108,Logistic Regression
Simple (Median/Mode),1.0,1.0,1.0,1.0,1.0,1.0,LightGBM
KNN Imputation,0.9990464813943698,0.9968890123216844,0.0,1.0,0.0,0.0,LightGBM
MICE Imputation,1.0,1.0,1.0,1.0,1.0,1.0,LightGBM
Domain-Informed,1.0,1.0,0.0,1.0,0.0,0.0,LightGBM
Simple (Median/Mode),0.9969843758202463,0.9908861999222998,0.9977406235878896,0.999548124717578,0.9977406235878896,0.9959331224582016,Deep Neural Network
KNN Imputation,0.994885471746472,0.9821687334299988,0.9968368730230456,1.0,0.9968368730230456,0.9941256213285132,Deep Neural Network
MICE Imputation,0.9962257605966812,0.9883828826510384,0.9981924988703118,1.0,0.9981924988703118,0.9950293718933574,Deep Neural Network
Domain-Informed,0.9988013467736208,0.9964874812951504,1.0,1.0,1.0,1.0,Deep Neural Network
