Model,Strategy,AUROC,PR AUC,Accuracy,F1 Score,Recall (default),Recall @0.3,Recall @0.5,Recall @0.7
Random Forest,Simple (Median/Mode),0.9999418429306223,0.9998826071779817,0.9930334696350144,0.9897137745974955,1.0,1.0,1.0,0.9963849977406236
Random Forest,KNN Imputation,0.9990085506331916,0.9975411807162669,0.9913675601999091,0.9872853000223065,1.0,1.0,1.0,0.9950293718933574
Random Forest,MICE Imputation,0.9998187352227004,0.9996191699389281,0.9909132212630622,0.9866250557289344,1.0,1.0,1.0,0.9927699954812472
Random Forest,Domain-Informed,0.9999988677384722,0.9999977650053478,0.9954566106315311,0.9932675044883303,1.0,1.0,1.0,0.9995481247175779
XGBoost,Simple (Median/Mode),0.9971861242379109,0.9917648885061905,0.9937907011964259,0.9908174692049272,0.9995481247175779,1.0,0.9995481247175779,0.9995481247175779
XGBoost,KNN Imputation,0.9972314146990193,0.992466377486565,0.9912161138876269,0.9870651204281892,1.0,1.0,1.0,0.9995481247175779
XGBoost,MICE Imputation,0.9972804622097423,0.9902151473193541,0.9953051643192489,0.9930446488669509,1.0,1.0,1.0,1.0
XGBoost,Domain-Informed,0.997038467041411,0.9910066116104257,0.9942450401332728,0.9914874551971327,1.0,1.0,1.0,0.9995481247175779
SVM (RBF),Simple (Median/Mode),0.9815532981234308,0.9364819861634727,0.9362411025291534,0.9128183889003935,0.9959331224582015,0.9927699954812472,0.9864437415273385,0.938544961590601
SVM (RBF),KNN Imputation,0.980550989339243,0.9289120385051985,0.9306375889747085,0.9059934318555009,0.9972887483054677,0.9918662449164031,0.982828739267962,0.9317668323542703
SVM (RBF),MICE Imputation,0.9804006558882233,0.9231709667824002,0.9342723004694836,0.9105892047795633,0.9986443741527339,0.9932218707636692,0.9864437415273385,0.9394487121554451
SVM (RBF),Domain-Informed,0.9898199395372346,0.9660268249058523,0.9345751930940481,0.9107438016528926,0.9959331224582015,0.9868956168097605,0.9796656122910077,0.9575237234523272
